"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"315","24.145.213.beh","2011-02-11",1297437230,1273345,"0001144204-11-007132","xslF345X03/form438500_021011091830-.xml",23703,232,175,"robot"
"316","24.145.213.beh","2011-02-11",1297437220,906163,"0000906163-11-000008","xslF345X03/edgar.xml",17216,232,175,"robot"
"317","24.145.213.beh","2011-02-11",1297437208,1045569,"0001181431-11-009051","xslF345X03/rrd300480.xml",17063,232,175,"robot"
"318","24.145.213.beh","2011-02-11",1297437197,275053,"0001181431-11-009055","xslF345X03/rrd300847.xml",23405,232,175,"robot"
"319","24.145.213.beh","2011-02-11",1297437178,69733,"0001144204-11-007243","xslF345X03/form438509_021011140711-.xml",33593,232,175,"robot"
"320","24.145.213.beh","2011-02-11",1297437138,1277902,"0001181431-10-042955","xslF345X03/rrd284546.xml",17051,232,175,"robot"
"321","24.145.213.beh","2011-02-11",1297437113,1277902,"0001181431-11-003896","xslF345X03/rrd297849.xml",17053,232,175,"robot"
"322","24.145.213.beh","2011-02-11",1297437103,1277902,"0001181431-11-009428","xslF345X03/rrd301168.xml",17087,232,175,"robot"
"323","24.145.213.beh","2011-02-11",1297437090,1277902,"0001181431-05-036333","xslF345X02/rrd83544.xml",17020,232,175,"robot"
"324","24.145.213.beh","2011-02-11",1297437069,1277902,"0001181431-11-009053","xslF345X03/rrd300949.xml",17831,232,175,"robot"
"325","24.145.213.beh","2011-02-11",1297437056,883981,"0001181431-11-009181","xslF345X03/rrd300932.xml",17177,232,175,"robot"
"326","24.145.213.beh","2011-02-11",1297437034,66004,"0000914317-11-000198","xslF345X03/form4-113032_ddex.xml",18741,232,175,"robot"
"327","24.145.213.beh","2011-02-11",1297437014,726517,"0000726517-11-000003","xslF345X03/primary_doc.xml",19613,232,175,"robot"
"328","24.145.213.beh","2011-02-11",1297436982,726517,"0000950156-11-000018","xslF345X03/primary_doc.xml",19084,232,175,"robot"
"329","24.145.213.beh","2011-02-11",1297436971,773141,"0001009874-11-000004","xslF345X03/edgar.xml",18910,232,175,"robot"
"330","24.145.213.beh","2011-02-11",1297436957,1032220,"0001032220-11-000006","xslF345X03/primary_doc.xml",22755,232,175,"robot"
"331","24.145.213.beh","2011-02-11",1297436947,101778,"0001209191-11-008312","xslF345X03/doc4.xml",20203,232,175,"robot"
"332","24.145.213.beh","2011-02-11",1297436939,704366,"0001185185-11-000122","xslF345X03/primary_doc.xml",17373,232,175,"robot"
"333","24.145.213.beh","2011-02-11",1297436929,36270,"0001209191-11-008501","xslF345X03/doc4.xml",21031,232,175,"robot"
